ArticleId,SentenceNumber,Sentence,Propaganda
111111112,5,Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America. ,yes
111111112,11,"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form."" ",yes
111111112,14,"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway. ",yes
111111112,15,"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"". ",yes
111111112,21,"The UK should never become a stage for inflammatory speakers who promote hate."" ",yes
111111112,25,"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said. ",yes
111111112,27,"""How many hate preachers are living in this country? ",yes
111111112,33,"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision. ",yes
111111113,3,"The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night, as top conservatives and critics of so-called ""sanctuary cities"" pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies. ",yes
111111113,12,"Lead attorney Matt Gonzalez has argued that the weapon was a SIG Sauer with a ""hair trigger in single-action mode"" — a model well-known for accidental discharges even among experienced shooters. ",yes
111111113,24,"Due to San Francisco's policy of limiting cooperation with federal immigration authorities — which some refer to as a ""sanctuary"" policy — the city did not inform ICE when they released Garcia Zarate. ",yes
111111113,30,"""This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"" ICE Director Thomas Homan said in a statement on Thursday. ",yes
111111113,31,"""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents."" ",yes
111111113,39,"Garcia Zarate's deportation and criminal history made him an effective target for immigration hardliners, who argued that Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails. ",yes
111111113,45,"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court. ",yes
111111113,46,His exoneration is a complete travesty of justice. ,yes
111111113,47,"BUILD THE WALL!"" ",yes
111111122,1,Kavanaugh Nomination Is Exploding in Trump’s Face ,yes
111111122,4,Justice Anthony Kennedy gave President Donald Trump the biggest political gift possible when he announced his resignation in the spring. ,yes
111111122,5,"Even though not everything that’s gone wrong is Trump’s fault, he has managed to make a complete hash of Brett Kavanaugh’s nomination to fill the empty seat on the court. ",yes
111111122,6,It’s a good example of how badly Trump does his job more than a year and a half into his administration.  ,yes
111111122,12,His decision during the campaign to release a list of potential justices drafted by Leo reflected the reality-TV star’s weakness as a presidential candidate. ,yes
111111122,18,"We have plenty of evidence that Trump is easily manipulated by those around him, and that Kavanaugh is a good fit for Trump’s biases: The judge has Ivy League credentials and he passes Trump’s cut-of-his-jib test by looking the part. ",yes
111111122,37,"It’s still not clear that Kavanaugh’s nomination is doomed, but it’s certainly in severe trouble. ",yes
111111122,40,And Trump hasn’t learned it yet. ,yes
111111122,42,"For one thing, the president has made this an extremely high-profile episode by stringing out the process as the accusations against Kavanaugh gained credibility and even multiplied. ",yes
111111122,45,"It’s also the case that the more negative information comes out, the more it appears that the Trump and his White House staff failed to do their jobs in vetting and managing Kavanaugh. ",yes
111111122,49,"First he said that Brasey had to be heard; then he attacked her in terms that were a slur on all women who have been assaulted without immediately reporting it to the police, and he also blamed the Senate for not voting before she came forward. ",yes
111111122,52,"The sum of all this has been, as in many other episodes, that Trump and his White House are a gang that can’t shoot straight and that he’s eager to blame his allies and lash out at his enemies in ugly ways when things go wrong. ",yes
111111122,57,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president. ",yes
111111122,60,"And yes, I call it the cut-of-his-jib test quite deliberately. ",yes
111111122,61,"It's no surprise that someone who hires based on what he thinks someone doing that job should look like, which seems to be based on hazy old-time Hollywood casting, would wind up with fewer women in his administration than any of his recent predecessors. ",yes
111111122,65,"But it did leave Republicans vulnerable to claims about transparency which were likely to be popular -- most people, and the entire press corps, love transparency -- and vulnerable to bombshells in the documentary record which hadn't been initially disclosed. ",yes
111111122,70,"There are plenty of other partisan, conservative judges, and plenty of conservative judges who lean towards an expansive view of presidential powers. ",yes
111111124,1,Agencies scramble to prep Russia probe files for release after sweeping Trump order ,yes
111111124,3,Intelligence agencies were scrambling Tuesday to comply with a sweeping order by President Trump to declassify key documents that could shed light on the origins of the Russia collusion probe that has hamstrung the administration for more than 18 months. ,yes
111111124,5,The documents Trump ordered declassified involve a renewed Foreign Intelligence Surveillance Act warrant against former campaign aide Carter Page and text messages from disgraced former FBI officials Peter Strzok and Lisa Page. ,yes
111111124,21,"The president also ordered the release of unredacted text messages from fired FBI Special Agent Peter Strzok, former FBI counsel Lisa Page, former FBI Director James Comey and former FBI Deputy Director Andrew McCabe. ",yes
111111124,23,"The president for months has blasted Strzok and Page for the bias revealed in their text messages, as well as Comey and McCabe for their leadership of the FBI. ",yes
111111124,28,The text messages are expected to take longer because of the sheer number involved and the fact that Trump ordered their release without redactions. ,yes
111111124,30,"Republicans on Capitol Hill, including House Intelligence Committee Chairman Devin Nunes, R-Calif., are touting the president’s order, saying it covers “pretty much everything that he wanted…and the text messages are a bonus,” a source said of Nunes. ",yes
111111124,34,"But Democrats,including the committee’s ranking member, Rep. Adam Schiff, D-Calif., are blasting the declassification order as a “clear abuse of power.” ",yes
111111124,36,"""[Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative,"" Schiff said. ",yes
111111124,37,"""With respect to some of these materials, I have been previously informed by the FBI and Justice Department that they would consider their release a red line that must not be crossed as they may compromise sources and methods. ",yes
111111124,39,"""This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,"" Schiff added. ",yes
111111124,41,"The president’s order is similar to his February move, when he cleared the way for the Republican-led House Intelligence Committee to release a partisan memo about the surveillance warrant on Carter Page. ",yes
111111131,3,Nearly five hours of unprecedented and surreal talks between US President Donald Trump and North Korea's Kim Jong Un culminated on Tuesday with fulsome declarations of a new friendship but just vague pledges of nuclear disarmament. ,yes
111111131,5,"For Trump, that amounted to a triumphant outcome in his extraordinary gamble with the rogue kingdom's despotic leader. ",yes
111111131,8,"But the dramatic act of extending his hand to one of America's longtime adversaries will forever illustrate Trump's gut-driven, norm-shattering tenure. ",yes
111111131,12,"""People are going to be very impressed. ",yes
111111131,14,"The document he and Kim signed said the North Korean leader ""reaffirmed his firm and unwavering commitment to complete denuclearization of the Korean Peninsula."" ",yes
111111131,21,"More critical, in Trump's telling, was the development of a personal bond with Kim, a brutal dictator responsible for the deaths not only of his own citizens but of at least one American, Otto Warmbier, who was returned to the US in a coma only to die days later. ",yes
111111131,25,"Trump and Kim -- both intent on making history -- greeted each other early in the day with extended hands in front of a row of US and North Korean flags, a previously unthinkable sight that reflects a new chapter in the two countries' acrimonious relationship. ",yes
111111131,27,"Instead he predicted he could ""solve a big problem, a big dilemma"" alongside his new partner. ",yes
111111131,28,"""Working together, we'll get it taken care of,"" Trump said. ",yes
111111131,32,"Other unforeseen events also surrounded the summit, increasing the drama. ",yes
111111131,33,"Minutes before the historic handshake, Trump tweeted that his top economic adviser Larry Kudlow had suffered a heart attack. ",yes
111111131,35,Even Kim seemed to acknowledge the surreality of the day. ,yes
111111131,37,"At the conclusion of the summit, Trump hailed the talks as a historic, and personal, achievement. ",yes
111111131,39,"""I learned he's a very talented man."" ",yes
111111131,40,"When pressed about those comments in light of Kim's brutal tactics, Trump continued praising the North Korean leaders' ability to run a country at a young age. ",yes
111111131,41,"""He is very talented,"" Trump said, citing Kim's ability to ""take over a situation like he did at 26 years of age and run it, and run it tough."" ",yes
111111131,42,"Kim assumed power after his father Kim Jong Il, also a brutal dictator, died in 2011. ",yes
111111131,43,"Throughout the day, Trump and Kim's body language was openly friendly, a striking warmth given Kim's iron grip on power and dismal record on human rights. ",yes
111111131,44,"Trump's move to meet him attracted fierce criticism for normalizing a regime routinely called out for its human rights abuses, that over years has built an image of fearsome renegade regime, throwing around threats of nuclear war. ",yes
111111131,47,"Trump told reporters he would ""absolutely"" extend an invitation to the White House to Kim, who also heralded a new era. ",yes
111111131,48,"""Today, we had a historic meeting and decided to leave the past behind,"" Kim said through a translator. ",yes
111111131,49,"""The world will see a major change."" ",yes
111111131,53,"""I want to get our soldiers out. ",yes
111111131,54,"I want to bring our soldiers back home,"" Trump said. ",yes
111111131,63,"Trump took keen interest in the pageantry of the day, insisting the pictures beamed around the world reflect a commanding leader making a decisive, world-altering move. ",yes
111111131,67,"Here in futuristic Singapore, however, Kim was able to view the benefits of economic advancement at close range. ",yes
111111131,69,"Kim was cheered by onlookers who caught sight of the dictator, who until earlier this spring was not believed to have ever left North Korea as supreme leader. ",yes
111111132,4,"But the 7-year-old is also a huge fan of the weekly Bible course at Princeton Primary, his public elementary school. ",yes
111111132,25,“Any time God’s word can be proclaimed is beneficial and is a good thing.” ,yes
111111132,50,Bypassing the class left her vulnerable to bullying. ,yes
111111132,51,Deal said other students told her daughter that she was going to hell. ,yes
111111132,52,"One day a student saw her daughter reading a “Harry Potter” novel and told her, according to the mother: “You don’t need to be reading this. ",yes
111111132,53,You need to be reading the Bible.” ,yes
111111132,58,Deal said she joined the suit because she believes strongly in the separation of church and state. ,yes
111111132,68,"Beneath a Chick-fil-A billboard in Princeton, another asks: “If you die tonight. ",yes
111111132,69,Heaven or Hell?” ,yes
111111132,90,“But to me this seems a pretty clear violation of the Constitution.” ,yes
111111132,94,"In a commentary for the Charleston Gazette-Mail, White wrote that “the Bible in the schools program in Mercer County is being sustained on a foundation of lies.” ",yes
111111132,105,"“Lynne White You are not a Christian, a Christian is a person who strives to be more Christ like with everything they do and I do not believe Christ would be working to shut this program down or alter it to include your worldly views.” ",yes
111111132,115,"Instead, the question will be tried in the courtroom of Judge David A. Faber of the U.S. District Court for the Southern District of West Virginia in Bluefield. ",yes
111111132,116,(Faber was nominated by President George H.W. ,yes
111111132,117,Bush.) ,yes
111111132,130,"our client is very, very flexible in terms of making sure that the content is in compliance with the law.” ",yes
111111132,137,"According to Elliott, the Mercer program is “extremely rare” and there are only a handful of districts around the country with similar courses. ",yes
111111132,149,"“Even if 99.9 percent of the people in the community want it, they need to remember that liberty of conscience is not up for a vote,” he said. ",yes
111111134,12,"In a statement, Manafort called the story “totally false and deliberately libelous” and said he was considering his legal options against the Guardian. ",yes
111111134,15,I have never reached out to Assange or WikiLeaks on any matter.” ,yes
