,ArticleId,SentenceNumber,Sentence,Propaganda,avg_word_sim,avg_sent_sim,x_y,x_2,y_2
0,111111112,5,Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America. ,yes,0.1316304023720003,0.7716427193480687,0.10157164163521079,0.0173265628286147,0.5954324863228824
3936,111111112,9,"A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary. ",no,0.4111463712266287,0.7716427193480687,0.31725810394340637,0.1690413385728248,0.5954324863228824
3937,111111112,13,'Right decision' ,no,0.48058279530685194,0.7716427193480687,0.3708382150424755,0.23095982314494756,0.5954324863228824
3938,111111112,17,"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month. ",no,0.9243178060960984,0.7716427193480687,0.7132431054378342,0.8543634066663045,0.5954324863228824
3939,111111112,19,"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country. ",no,2.6289843038734144,0.7716427193480687,2.028636597364271,6.911558470012781,0.5954324863228824
3940,111111112,20,This is the right decision. ,no,2.1912449145890873,0.7716427193480687,1.69085818465115,4.801554275712537,0.5954324863228824
3941,111111112,23,"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died. ",no,4.550532915737943,0.7716427193480687,3.511385593582922,20.707349817214464,0.5954324863228824
3942,111111112,28,"It just shows what sort of a two-tier system we have here."" ",no,2.910736976173587,0.7716427193480687,2.2460489956015612,8.472389744464156,0.5954324863228824
3943,111111112,30,'Foster hatred' ,no,9.452602039312376,0.7716427193480687,7.294031542530102,89.35168531361249,0.5954324863228824
3944,111111112,31,Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK. ,no,3.498957180871765,0.7716427193480687,2.699944833930341,12.24270135357409,0.5954324863228824
3945,111111112,35,"""These two are among some of the most extreme anti-Muslim activists in the world. ",no,3.2451063844339996,0.7716427193480687,2.504062715058431,10.530715446294305,0.5954324863228824
3946,111111112,36,They've nothing to contribute to life in this country. ,no,3.2017898399230025,0.7716427193480687,2.470637818859203,10.251458179034167,0.5954324863228824
3947,111111112,38,"""They're not here to contribute to good community relations. ",no,19.438445198573085,0.7716427193480687,14.999534712925344,377.853151737929,0.5954324863228824
3948,111111112,39,They only wanted to come here and help the EDL stir up more trouble. ,no,2.2142361415520906,0.7716427193480687,1.7085991975460304,4.90284169055549,0.5954324863228824
3949,111111112,40,"Britain doesn't need more hate even just for a few days."" ",no,2.2447281237648213,0.7716427193480687,1.7321281136189748,5.038804349620735,0.5954324863228824
3950,111111112,42,"Mr Spencer put up a copy of what appears to be the exclusion decision from the Home Office on the Jihad Watch website, while Ms Geller posted a copy of her letter on her website, Atlas Shrugs. ",no,17.25001521189154,0.7716427193480687,13.31084864689954,297.56302481048954,0.5954324863228824
3951,111111112,44,"The letters, both dated Tuesday, claim that both activists have fallen within the scope of a list of unacceptable behaviours by making statements which may ""foster hatred"" and lead to ""inter-community violence"" in the UK. ",no,3.374831728130703,0.7716427193480687,2.604164332036918,11.389489193197669,0.5954324863228824
3952,111111112,46,"Both letters gave examples of anti-Muslim views stated by both and went on to say that should they be allowed to enter the UK the home secretary believes they would ""continue to espouse such views"". ",no,7.35617692929275,0.7716427193480687,5.676340369724984,54.11333901505891,0.5954324863228824
3935,111111112,7,"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed. ",no,29.551208102921187,0.7716427193480687,22.80297458055879,873.2739003421548,0.5954324863228824
3934,111111112,3,"Two prominent US bloggers have been banned from entering the UK, the Home Office has said. ",no,6.249263975502689,0.7716427193480687,4.822199047980818,39.05330023551568,0.5954324863228824
3933,111111112,1,US bloggers banned from entering UK ,no,7.318675859931007,0.7716427193480687,5.647402942584228,53.563016342736866,0.5954324863228824
