,ArticleId,SentenceNumber,Sentence,Propaganda,avg_word_sim,avg_sent_sim,x_y,x_2,y_2
0,111111112,5,Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America. ,yes,0.9906946021324142,0.6334576700764815,0.6275630944241459,0.9814757946943026,0.4012686197787244
1,111111112,11,"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form."" ",yes,4.9332532114042245,0.6334576700764815,3.12500708519344,24.336987247830095,0.4012686197787244
2,111111112,14,"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway. ",yes,8.408113767549409,0.6334576700764815,5.326184156929835,70.69637712805392,0.4012686197787244
3,111111112,15,"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"". ",yes,0.0,0.6334576700764815,0.0,0.0,0.4012686197787244
4,111111112,21,"The UK should never become a stage for inflammatory speakers who promote hate."" ",yes,0.0,0.6334576700764815,0.0,0.0,0.4012686197787244
5,111111112,25,"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said. ",yes,0.0,0.6334576700764815,0.0,0.0,0.4012686197787244
6,111111113,3,"The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night, as top conservatives and critics of so-called ""sanctuary cities"" pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies. ",yes,0.8167192889006663,0.4665746715653794,0.38106053397993855,0.66703039686241,0.21769192414634167
7,111111113,12,"Lead attorney Matt Gonzalez has argued that the weapon was a SIG Sauer with a ""hair trigger in single-action mode"" — a model well-known for accidental discharges even among experienced shooters. ",yes,3.9127852048388063,0.4665746715653794,1.8256064718535419,15.30988805920546,0.21769192414634167
8,111111113,24,"Due to San Francisco's policy of limiting cooperation with federal immigration authorities — which some refer to as a ""sanctuary"" policy — the city did not inform ICE when they released Garcia Zarate. ",yes,39.26073599305501,0.4665746715653794,18.31806500137471,1541.405390716365,0.21769192414634167
9,111111122,1,Kavanaugh Nomination Is Exploding in Trump’s Face ,yes,0.12354843086375415,0.3828556109091532,0.047301209975209875,0.01526421476889584,0.1465784188046209
10,111111122,4,Justice Anthony Kennedy gave President Donald Trump the biggest political gift possible when he announced his resignation in the spring. ,yes,0.0,0.3828556109091532,0.0,0.0,0.1465784188046209
11,111111122,5,"Even though not everything that’s gone wrong is Trump’s fault, he has managed to make a complete hash of Brett Kavanaugh’s nomination to fill the empty seat on the court. ",yes,1.4535709092981208,0.3828556109091532,0.5565077784791054,2.1128683883577657,0.1465784188046209
12,111111122,6,It’s a good example of how badly Trump does his job more than a year and a half into his administration.  ,yes,2.8572419045407806,0.3828556109091532,1.093911094878193,8.163831301063828,0.1465784188046209
13,111111122,12,His decision during the campaign to release a list of potential justices drafted by Leo reflected the reality-TV star’s weakness as a presidential candidate. ,yes,1.9162752778111287,0.3828556109091532,0.733656742156487,3.6721109403501186,0.1465784188046209
14,111111122,18,"We have plenty of evidence that Trump is easily manipulated by those around him, and that Kavanaugh is a good fit for Trump’s biases: The judge has Ivy League credentials and he passes Trump’s cut-of-his-jib test by looking the part. ",yes,0.0,0.3828556109091532,0.0,0.0,0.1465784188046209
15,111111122,37,"It’s still not clear that Kavanaugh’s nomination is doomed, but it’s certainly in severe trouble. ",yes,0.0,0.3828556109091532,0.0,0.0,0.1465784188046209
16,111111124,1,Agencies scramble to prep Russia probe files for release after sweeping Trump order ,yes,0.1995488076411678,0.6813310353830095,0.13595879571960187,0.03981972663101179,0.4642119797760838
17,111111124,3,Intelligence agencies were scrambling Tuesday to comply with a sweeping order by President Trump to declassify key documents that could shed light on the origins of the Russia collusion probe that has hamstrung the administration for more than 18 months. ,yes,0.6816883135164599,0.6813310353830095,0.4644554044566672,0.4646989567849153,0.4642119797760838
18,111111124,5,The documents Trump ordered declassified involve a renewed Foreign Intelligence Surveillance Act warrant against former campaign aide Carter Page and text messages from disgraced former FBI officials Peter Strzok and Lisa Page. ,yes,0.0,0.6813310353830095,0.0,0.0,0.4642119797760838
19,111111124,21,"The president also ordered the release of unredacted text messages from fired FBI Special Agent Peter Strzok, former FBI counsel Lisa Page, former FBI Director James Comey and former FBI Deputy Director Andrew McCabe. ",yes,3.5796631105785286,0.6813310353830095,2.4389355734528335,12.813987985236746,0.4642119797760838
20,111111124,23,"The president for months has blasted Strzok and Page for the bias revealed in their text messages, as well as Comey and McCabe for their leadership of the FBI. ",yes,0.0,0.6813310353830095,0.0,0.0,0.4642119797760838
21,111111131,3,Nearly five hours of unprecedented and surreal talks between US President Donald Trump and North Korea's Kim Jong Un culminated on Tuesday with fulsome declarations of a new friendship but just vague pledges of nuclear disarmament. ,yes,0.8111778904966827,0.8217783248503507,0.6666084080080051,0.6580095700306481,0.6753196151938485
22,111111131,5,"For Trump, that amounted to a triumphant outcome in his extraordinary gamble with the rogue kingdom's despotic leader. ",yes,3.6297068763903337,0.8217783248503507,2.9828144365778475,13.174772008515273,0.6753196151938485
23,111111131,8,"But the dramatic act of extending his hand to one of America's longtime adversaries will forever illustrate Trump's gut-driven, norm-shattering tenure. ",yes,2.924892100637388,0.8217783248503507,2.403612930829816,8.554993800370992,0.6753196151938485
24,111111131,12,"""People are going to be very impressed. ",yes,4.505576749800966,0.8217783248503507,3.7025853139361256,20.300221848347036,0.6753196151938485
25,111111131,14,"The document he and Kim signed said the North Korean leader ""reaffirmed his firm and unwavering commitment to complete denuclearization of the Korean Peninsula."" ",yes,5.354829987653752,0.8217783248503507,4.400483217112525,28.674204196675884,0.6753196151938485
26,111111131,21,"More critical, in Trump's telling, was the development of a personal bond with Kim, a brutal dictator responsible for the deaths not only of his own citizens but of at least one American, Otto Warmbier, who was returned to the US in a coma only to die days later. ",yes,3.987825362533299,0.8217783248503507,3.277108446218357,15.902751122063837,0.6753196151938485
27,111111131,25,"Trump and Kim -- both intent on making history -- greeted each other early in the day with extended hands in front of a row of US and North Korean flags, a previously unthinkable sight that reflects a new chapter in the two countries' acrimonious relationship. ",yes,17.970206602254887,0.8217783248503507,14.767526278815733,322.92832532772513,0.6753196151938485
